Batu Lobang,Maluku Utara,Pulau Morotai,"Batu Lobang, Pulau Morotai","2.2431016,128.6251446"
Tanjung Gorango,Maluku Utara,Pulau Morotai,"Tanjung Gorango, Pulau Morotai","2.4984757,128.6702406"
simpang pos,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Medan ᯔᯩᯑᯉ᯲,Jalan Letjen. Djamin Ginting,"3.5402601,98.6544121"
Wavang Puppets,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Wavang Puppets, Kota Yogyakarta","-7.8087369,110.3622219"
recreation are,Aceh اچيه,Aceh Tenggara,"recreation are, Aceh Tenggara","3.6838918,97.6508576"
Traditional Toraja Houses,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Traditional Toraja Houses, Toraja Utara","-2.9747747,119.8956435"
Deri,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Deri, Toraja Utara","-2.9106654,119.9151604"
Toraja village,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Toraja village, Toraja Utara","-2.9078044,119.9251919"
Toraja village,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Toraja village, Toraja Utara","-2.9075794,119.9234753"
Toraja village,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Toraja village, Tana Toraja","-3.0651276,119.8701111"
Love Bridge,,Daerah Khusus ibukota Jakarta,"Love Bridge, Daerah Khusus ibukota Jakarta","-5.8024803,106.5118802"
Mawi Surf Break,Nusa Tenggara Barat,Kec. Sekarbela,"Mawi Surf Break, Kec. Sekarbela","-8.8870347,116.15924"
Zip line,Bali,Lembongan,"Zip line, Lembongan","-8.7088061,115.4402991"
pohon purba lian langka big trees,Nusa Tenggara Barat,,"pohon purba lian langka big trees, ","-8.4724257,116.6749255"
Pindana Beach Park,Nusa Tenggara Barat,,"Pindana Beach Park, ","-8.4732177,116.6768"
Iris Garden,Jawa Barat,Kota Bandung,"Iris Garden, Kota Bandung","-6.9633866,107.6262382"
Immersioni,Bali,Buleleng,"Immersioni, Buleleng","-8.092946,114.5224709"
Diversia - diving italiano,Nusa Tenggara Barat,Lombok Utara,"Diversia - diving italiano, Lombok Utara","-8.3544481,116.0430679"
sunset point,Nusa Tenggara Barat,Lombok Utara,"sunset point, Lombok Utara","-8.3164174,116.2820733"
teja bombong waterfall,Nusa Tenggara Barat,Lombok Utara,"teja bombong waterfall, Lombok Utara","-8.3182153,116.2679449"
Waterbom,Bali,Badung,Jl. Kartika Plaza,"-8.7284729,115.1696283"
For going to LOVE ISLAND,Gorontalo,Boalemo,"For going to LOVE ISLAND, Boalemo","0.490464,122.3045535"
For going to LOVE ISLAND,Gorontalo,Boalemo,"For going to LOVE ISLAND, Boalemo","0.4904626,122.3045662"
gangga murmas viewpoint,Nusa Tenggara Barat,Lombok Utara,"gangga murmas viewpoint, Lombok Utara","-8.3514246,116.2269495"
Isole Karimunjawa,Jawa Tengah,Jawa,"Isole Karimunjawa, Jawa","-5.8266579,110.45185"
Scuba Junkie Komodo,Nusa Tenggara Timur,Labuan Bajo,"Scuba Junkie Komodo, Labuan Bajo","-8.6112344,119.807814"
Wharf,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Wharf, Sulawesi","-5.5930056,120.4613465"
Blue stone beach,Nusa Tenggara Timur,Ende,"Blue stone beach, Ende","-8.7985098,121.4771076"
Monoliths,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Monoliths, Toraja Utara","-2.9160469,119.8701409"
Mahend,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,Topoka,"-3.3887648,120.3692155"
Wanawisata Penggaron,Jawa Tengah,Ungaran,"Wanawisata Penggaron, Ungaran","-7.1141462,110.4235811"
Coal Port,Bengkulu,Bengkulu Utara,"Coal Port, Bengkulu Utara","-3.3740489,101.82817"
sumatera's railway devided into two in here,Sumatera Selatan,Prabumulih,"sumatera's railway devided into two in here, Prabumulih","-3.4651629,104.2359504"
Penangkaran Penyu / Turtles Site,Bengkulu,Mukomuko,"Penangkaran Penyu / Turtles Site, Mukomuko","-3.0133146,101.480645"
Alun-alun Sukorejo,Jawa Tengah,Kendal,"Alun-alun Sukorejo, Kendal","-7.0871756,110.0452123"
Desa Budaya Kertalangu,Bali,Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ,Jalan Bypass Ngurah Rai,"-8.6423302,115.2563041"
De Ranch,Jawa Barat,Bandung Barat,"De Ranch, Bandung Barat","-6.8159994,107.62646"
Kawah Ratu,Jawa Barat,Subang,"Kawah Ratu, Subang","-6.7583792,107.6155575"
Air Panas Ambon,Maluku,Maluku Tengah,"Air Panas Ambon, Maluku Tengah","-3.5936534,128.309001"
amazing fishing/snorkelling,Aceh اچيه,Sumatera,"amazing fishing/snorkelling, Sumatera","5.8831627,95.249606"
Massage reflexology Reborn,Kepulauan Riau كڤولاوان رياو,Batam,"Massage reflexology Reborn, Batam","1.1341711,104.0101378"
Inul vizta,Kepulauan Riau كڤولاوان رياو,Batam,"Inul vizta, Batam","1.1450339,104.0128263"
Air Panas Mala Nage,Nusa Tenggara Timur,Ngada,"Air Panas Mala Nage, Ngada","-8.8837081,121.0034417"
Cepi Watu Beach,Nusa Tenggara Timur,KABUPATEN MANGGARAI,"Cepi Watu Beach, KABUPATEN MANGGARAI","-8.8163616,120.5846978"
Amed wall,Bali,Karangasem,"Amed wall, Karangasem","-8.337564,115.6617295"
Toll Booth,Jawa Tengah,Jepara ꦗꦼꦥꦫ,"Toll Booth, Jepara ꦗꦼꦥꦫ","-6.5898971,110.6490955"
Nangganesa beach,Nusa Tenggara Timur,Ende,"Nangganesa beach, Ende","-8.8487001,121.6919681"
Upside Down World Bandung,Jawa Barat,Kota Bandung,"Upside Down World Bandung, Kota Bandung","-6.8971801,107.6162203"
Temple with big statue,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Pematang Siantar,"Temple with big statue, Kota Pematang Siantar","2.9544264,99.0689594"
Treasure Bay,Kepulauan Riau كڤولاوان رياو,Bintan,"Treasure Bay, Bintan","1.1576249,104.3284292"
Londry sukamara,Kalimantan Selatan,Banjarbaru,"Londry sukamara, Banjarbaru","-3.4381817,114.7228533"
Waecicu Beach,Nusa Tenggara Timur,Labuan Bajo,"Waecicu Beach, Labuan Bajo","-8.4639597,119.87214"
Bledug Kuwu,Jawa Tengah,Grobogan ꦒꦿꦺꦴꦧꦺꦴꦒꦤ꧀,"Bledug Kuwu, Grobogan ꦒꦿꦺꦴꦧꦺꦴꦒꦤ꧀","-7.1204576,111.1207375"
Volksraathuys,Sumatera Barat,Agam,"Volksraathuys, Agam","-0.3185424,100.3579208"
Taru Agro,Bali,Karangasem,Jalan Setra,"-8.5342451,115.4903436"
Traditional Village of Saga,Nusa Tenggara Timur,Ende,"Traditional Village of Saga, Ende","-8.7716192,121.73597"
Cibulan,Jawa Barat,Kuningan ᮊᮥᮔᮤᮍᮔ᮪,"Cibulan, Kuningan ᮊᮥᮔᮤᮍᮔ᮪","-6.9110724,108.4858415"
Trekking,Nusa Tenggara Timur,Manggarai Barat,"Trekking, Manggarai Barat","-8.6775371,119.5554536"
Underwater Buddha Statue Garden,Bali,Klungkung,"Underwater Buddha Statue Garden, Klungkung","-8.68443,115.4662176"
Jemeluk snorkelling spot,Bali,Karangasem,"Jemeluk snorkelling spot, Karangasem","-8.3381029,115.6608631"
Bunut Bolong,Bali,Jembrana,"Bunut Bolong, Jembrana","-8.3867737,114.8735337"
Air Panas Semurup,Jambi,Kerinci,"Air Panas Semurup, Kerinci","-1.9882085,101.3576773"
Tegal Wangi Beach,Bali,Badung,"Tegal Wangi Beach, Badung","-8.7823731,115.1406596"
Jemursari,Jawa Timur,Surabaya,"Jemursari, Surabaya","-7.3289915,112.731446"
Madakaripura,Jawa Timur,Probolinggo,"Madakaripura, Probolinggo","-7.8552995,113.0077073"
Bangkai pesawat,Bali,Badung,Jl. Nusa Dua Selatan,"-8.8318362,115.1875513"
Broken Bay,Bali,Klungkung,"Broken Bay, Klungkung","-8.7294842,115.4500655"
Vila Almarick Biorock,Nusa Tenggara Barat,Kec. Ampenan,"Vila Almarick Biorock, Kec. Ampenan","-8.3461172,116.0433854"
Bale Sampan Biorock,Nusa Tenggara Barat,Kec. Ampenan,"Bale Sampan Biorock, Kec. Ampenan","-8.3479656,116.0438526"
Samba Vilas Biorock,Nusa Tenggara Barat,Kec. Ampenan,"Samba Vilas Biorock, Kec. Ampenan","-8.3481527,116.0439347"
Trawangan Dive Biorock,Nusa Tenggara Barat,Kec. Ampenan,"Trawangan Dive Biorock, Kec. Ampenan","-8.3490364,116.0442834"
Gili Divers Biorock,Nusa Tenggara Barat,Kec. Ampenan,"Gili Divers Biorock, Kec. Ampenan","-8.3495698,116.0444604"
Dinosaur shadehouse,Bali,Tabanan,"Dinosaur shadehouse, Tabanan","-8.2758747,115.1537382"
Orangutan Feeding,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Langkat,Rainforest Discovery Path,"3.544255,98.1158505"
Huta Siallagan,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,Jalan Lumban Nangka,"2.678915,98.8364729"
Suaya,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Suaya, Tana Toraja","-3.0937028,119.9025536"
Tibumana,Bali,Bangli,"Tibumana, Bangli","-8.5068009,115.3330647"
Batas Waktu Feeding Station,Kalimantan Tengah,Kotawaringin Barat,"Batas Waktu Feeding Station, Kotawaringin Barat","-2.8232578,111.8099666"
Balangan Bowl,Bali,Badung,"Balangan Bowl, Badung","-8.8035445,115.1319963"
Belaraghi Starting Point,Nusa Tenggara Timur,Ngada,"Belaraghi Starting Point, Ngada","-8.8312306,120.8466808"
Pucok Krueng,Aceh اچيه,Aceh Besar,"Pucok Krueng, Aceh Besar","5.4604918,95.2619611"
Koka beach,Nusa Tenggara Timur,Sikka,"Koka beach, Sikka","-8.7961983,122.0178791"
Bena traditional village,Nusa Tenggara Timur,Ngada,"Bena traditional village, Ngada","-8.8776313,120.9858255"
Secret beach,Nusa Tenggara Timur,Ngada,"Secret beach, Ngada","-8.9454473,120.9713491"
Mangrove,Nusa Tenggara Barat,,"Mangrove, ","-8.1471858,117.3758079"
Poto batu,Nusa Tenggara Barat,,"Poto batu, ","-8.794211,116.8123452"
Beautiful beach,Nusa Tenggara Timur,Sikka,"Beautiful beach, Sikka","-8.4808923,122.4658045"
Beautiful beach,Nusa Tenggara Timur,Sikka,"Beautiful beach, Sikka","-8.4333643,122.5052882"
Snorkling,Nusa Tenggara Timur,,"Snorkling, ","-8.4704823,122.4786689"
Snorkling,Nusa Tenggara Timur,,"Snorkling, ","-8.5083779,122.4530175"
White sand beach,,Sulawesi,"White sand beach, Sulawesi","-5.6098723,120.4394855"
Boats construction,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Boats construction, Sulawesi","-5.6028854,120.4624328"
Snorkling,,Sulawesi,"Snorkling, Sulawesi","-5.6337142,120.4452038"
Snorkling,,Sulawesi,"Snorkling, Sulawesi","-5.6314676,120.431817"
White sand beach,,Sulawesi,"White sand beach, Sulawesi","-5.6147791,120.45676"
Koka beach,Nusa Tenggara Timur,Sikka,"Koka beach, Sikka","-8.7952471,122.0194482"
Koka beach,Nusa Tenggara Timur,Sikka,"Koka beach, Sikka","-8.7941879,122.0168469"
Waebela village,Nusa Tenggara Timur,Ngada,"Waebela village, Ngada","-8.9451121,120.96982"
Sarong handicraft village,Nusa Tenggara Timur,Ende,"Sarong handicraft village, Ende","-8.7806868,121.8678561"
Finsensius saver laka big traditional house,Nusa Tenggara Timur,Ende,"Finsensius saver laka big traditional house, Ende","-8.7915921,121.8628848"
Kuburan di atas pohon,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Kuburan di atas pohon, Samosir","2.6482208,98.8625446"
Secret beach,Nusa Tenggara Timur,Ngada,"Secret beach, Ngada","-8.9460968,120.9701336"
Rice fields terrasse,Nusa Tenggara Timur,Nagekeo,"Rice fields terrasse, Nagekeo","-8.7818803,121.1464533"
Rice fields terrasse,Nusa Tenggara Timur,Nagekeo,"Rice fields terrasse, Nagekeo","-8.7814745,121.1463911"
Rice fields terrasse,Nusa Tenggara Timur,Nagekeo,"Rice fields terrasse, Nagekeo","-8.7811863,121.1467628"
Liang Bua cave (Hobbit cave),Nusa Tenggara Timur,Manggarai,"Liang Bua cave (Hobbit cave), Manggarai","-8.5308277,120.44347"
huge rice field terrasse,Nusa Tenggara Timur,Manggarai Timur,"huge rice field terrasse, Manggarai Timur","-8.6565253,120.5615169"
Huge rice field terrasse,Nusa Tenggara Timur,Manggarai Timur,"Huge rice field terrasse, Manggarai Timur","-8.6774973,120.5646277"
Mengeruda Hot Spring,Nusa Tenggara Timur,Ngada,"Mengeruda Hot Spring, Ngada","-8.7094511,121.085845"
Big terrace rice field,Nusa Tenggara Timur,Manggarai,"Big terrace rice field, Manggarai","-8.6459788,120.3437708"
Wologai traditional village,Nusa Tenggara Timur,Ende,"Wologai traditional village, Ende","-8.6943528,121.8086826"
Puncak Guha,Jawa Barat,Sinarjaya,"Puncak Guha, Sinarjaya","-7.5362084,107.496854"
Penangkaran Kupu-kupu,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Penangkaran Kupu-kupu, Sulawesi","-5.0171709,119.6767522"
Jam Gento Bangko,Jambi,Merangin,"Jam Gento Bangko, Merangin","-2.0763467,102.274463"
Situ Wanayasa,Jawa Barat,Purwakarta,"Situ Wanayasa, Purwakarta","-6.6773971,107.5553485"
Cerita Anak Hoick,Papua Pegunungan,Yalimo,"Cerita Anak Hoick, Yalimo","-3.8911016,139.3188807"
Cancan walung,Nusa Tenggara Timur,Labuan Bajo,"Cancan walung, Labuan Bajo","-8.5583586,119.995325"
Motor Rental,Nusa Tenggara Timur,Ende,"Motor Rental, Ende","-8.8481471,121.6564952"
Mangrove Beach,Nusa Tenggara Timur,Sikka,"Mangrove Beach, Sikka","-8.5245004,122.0456472"
Mangrove Magepanda Forest,Nusa Tenggara Timur,Sikka,"Mangrove Magepanda Forest, Sikka","-8.5260022,122.0442708"
Bamboo Bridge,Nusa Tenggara Timur,Sikka,"Bamboo Bridge, Sikka","-8.5254047,122.044947"
Bamboo Bridge,Nusa Tenggara Timur,Sikka,"Bamboo Bridge, Sikka","-8.5266639,122.0428065"
Dead Coral Beach,Nusa Tenggara Timur,Sikka,"Dead Coral Beach, Sikka","-8.6101739,122.3909852"
Turtle foundation,Kalimantan Timur,Berau,"Jl. Mangga II, Gang Anunta 03, RT 11","2.1470533,117.50091"
Bilangbilangan island,Kalimantan Timur,Berau,"Bilangbilangan island, Berau","1.5584383,118.94382"
Mataha island,Kalimantan Timur,Berau,"Mataha island, Berau","1.5224833,118.91104"
DANTE PINE,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,Jl. Poros Enrekang-Toraja,"-3.4460393,119.7919121"
traditional Minangkabau house,Sumatera Barat,Tanah Datar,"traditional Minangkabau house, Tanah Datar","-0.3749746,100.5549575"
Rice granary,Sumatera Barat,Tanah Datar,"Rice granary, Tanah Datar","-0.4718908,100.6215129"
Minangkabau houses,Sumatera Barat,Tanah Datar,"Minangkabau houses, Tanah Datar","-0.525439,100.5698848"
Minangkabau house (350 years old),Sumatera Barat,Tanah Datar,"Minangkabau house (350 years old), Tanah Datar","-0.5229305,100.5696902"
Minangkabau house,Sumatera Barat,Tanah Datar,"Minangkabau house, Tanah Datar","-0.5228592,100.5682957"
Tado Homestay,Nusa Tenggara Timur,Manggarai Barat,Trans Flores,"-8.6515663,120.0762584"
Batu Mentas,Kepulauan Bangka Belitung,Belitung,"Batu Mentas, Belitung","-2.7927831,107.8364031"
Moa Taman Belut,Maluku,Maluku Tengah,"Moa Taman Belut, Maluku Tengah","-3.7492912,127.9349823"
Alaska Ha,Bali,Gianyar,"Alaska Ha, Gianyar","-8.4352795,115.280822"
Crystal Bay Dive Site,Nusa Tenggara Timur,Kabupaten Manggarai Barat,"Crystal Bay Dive Site, Kabupaten Manggarai Barat","-8.4472423,119.5682314"
Pengah Kecil,Nusa Tenggara Timur,Kabupaten Manggarai Barat,"Pengah Kecil, Kabupaten Manggarai Barat","-8.5769535,119.6808266"
Siaba Besar dive site,Nusa Tenggara Timur,Kabupaten Manggarai Barat,"Siaba Besar dive site, Kabupaten Manggarai Barat","-8.558211,119.6450121"
Kaliakah Village Circuit ( Makepung-Bull Race),Bali,Jembrana,"Kaliakah Village Circuit ( Makepung-Bull Race), Jembrana","-8.3446387,114.6013927"
Underwater volcano,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro,"Underwater volcano, Kepulauan Siau Tagulandang Biaro","2.667431,125.3735386"
Mantar Paragliding,Nusa Tenggara Barat,,"Mantar Paragliding, ","-8.6084055,116.82811"
Turtle egg beach (nightly),Nusa Tenggara Barat,,"Turtle egg beach (nightly), ","-9.0821089,116.9783201"
Pyramids,Bali,Karangasem,"Pyramids, Karangasem","-8.3341953,115.6536502"
Hadabuan Naisogop,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Hadabuan Naisogop, Samosir","2.5899716,98.6223519"
Lewikluok traditional village entrance,Nusa Tenggara Timur,Flores Timur,"Lewikluok traditional village entrance, Flores Timur","-8.3986835,122.8600357"
Sing Sing Angin waterfall,Bali,Tabanan,"Sing Sing Angin waterfall, Tabanan","-8.4485044,115.0523016"
sade waterfall,Bali,Tabanan,"sade waterfall, Tabanan","-8.4052736,115.0282529"
Gerbang karangasem,Daerah Istimewa Yogyakarta,Sleman,"Gerbang karangasem, Sleman","-7.7506676,110.4096068"
Lava rocks,Maluku Utara,Maluku,"Lava rocks, Maluku","0.8437357,127.3733376"
Lava stones,Maluku Utara,Maluku,"Lava stones, Maluku","0.8462994,127.3668025"
Lava stones,Maluku Utara,Ternate,"Lava stones, Ternate","0.8484218,127.3626254"
Yeer Teran Ratut (YTR),Maluku,Maluku Tenggara,"Yeer Teran Ratut (YTR), Maluku Tenggara","-5.6228452,132.7125371"
Fish Feeding Riverside Rasuna Epicentrum,,Daerah Khusus ibukota Jakarta,"Fish Feeding Riverside Rasuna Epicentrum, Daerah Khusus ibukota Jakarta","-6.2173973,106.835646"
Erek Erek Downhill Bike track,Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,"Erek Erek Downhill Bike track, Banyuwangi ꦧꦚꦸꦮꦔꦶ","-8.1046298,114.2409"
Kalibendo Pool,Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,"Kalibendo Pool, Banyuwangi ꦧꦚꦸꦮꦔꦶ","-8.1658464,114.27486"
Entrance Batu Angus,Maluku Utara,Ternate,"Entrance Batu Angus, Ternate","0.8446901,127.36468"
Snorkelling bay,Maluku Utara,Maluku,"Snorkelling bay, Maluku","0.8634966,127.3315157"
Walk to Afo 1-3 (Oldest clove trees),Maluku Utara,Ternate,"Walk to Afo 1-3 (Oldest clove trees), Ternate","0.7903497,127.3582448"
Lina crocodile lake,Maluku Utara,Halmahera Utara,"Lina crocodile lake, Halmahera Utara","1.5329565,127.8420249"
Paca lake recreation,Maluku Utara,Halmahera Utara,"Paca lake recreation, Halmahera Utara","1.569529,127.9464916"
To: Underwater volcano beach,Maluku Utara,Halmahera Utara,"To: Underwater volcano beach, Halmahera Utara","1.8029001,127.85927"
Bat Cave,Nusa Tenggara Barat,Lombok Tengah,"Bat Cave, Lombok Tengah","-8.8868159,116.2544767"
Pink Beach,Nusa Tenggara Timur,Manggarai Barat,"Pink Beach, Manggarai Barat","-8.6356644,119.6164304"
Kanto Lampo,Bali,Gianyar,"Kanto Lampo, Gianyar","-8.5323414,115.3329825"
Rante Karassik,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Rante Karassik, Toraja Utara","-2.9816288,119.8940137"
Kawasan Wisata Ollon,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Kawasan Wisata Ollon, Tana Toraja","-3.2877748,119.6883343"
DJL Diving Moyo @ Maleo Moyo seaside resort,Nusa Tenggara Barat,,labuan aji,"-8.2173844,117.4839387"
DJL Diving Moyo,Nusa Tenggara Barat,,labuan aji pulau moyo,"-8.2171839,117.4837388"
Former Dach Jail,Papua Barat Daya,Sorong,"Former Dach Jail, Sorong","-0.8886104,131.2351939"
Rockwalk,Papua Barat Daya,Sorong,"Rockwalk, Sorong","-0.8843652,131.2386269"
Framu Lake,Papua Barat Daya,Maybrat,"Framu Lake, Maybrat","-1.2599573,132.18339"
Buntu Pune,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Buntu Pune, Toraja Utara","-2.9874378,119.8968489"
Papa' Batu Tumakke,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Papa' Batu Tumakke, Tana Toraja","-3.070503,119.7945736"
Tongkonan Sassa',Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Tongkonan Sassa', Tana Toraja","-3.1653449,119.8594841"
Jayapura City Sign,Papua,Jayapura,"Jayapura City Sign, Jayapura","-2.5494143,140.7092953"
Pintu Masuk Forest Walk Babakan Siliwangi,Jawa Barat,Kota Bandung,"Pintu Masuk Forest Walk Babakan Siliwangi, Kota Bandung","-6.8852505,107.6097305"
Coral Garden,Bali,Karangasem,"Coral Garden, Karangasem","-8.372976,115.7059571"
Punthuk Setumbu Reforestation Project,Jawa Tengah,Magelang ꦩꦒꦼꦭꦁ,"Punthuk Setumbu Reforestation Project, Magelang ꦩꦒꦼꦭꦁ","-7.6071925,110.1776308"
Fish feeding snorkeling point,Nusa Tenggara Barat,Kec. Sekarbela,"Fish feeding snorkeling point, Kec. Sekarbela","-8.7194823,116.0072187"
Fish Feeding snorkeling point,Nusa Tenggara Barat,Kec. Sekarbela,"Fish Feeding snorkeling point, Kec. Sekarbela","-8.7200573,116.0108047"
Turtle Conservation Center,Nusa Tenggara Barat,Lombok Barat,"Turtle Conservation Center, Lombok Barat","-8.7191523,116.0095013"
Manta Point,Bali,Klungkung,"Manta Point, Klungkung","-8.7388438,115.4539857"
Small Volcano Rocks Beach,Bali,Karangasem,"Small Volcano Rocks Beach, Karangasem","-8.2795907,115.5986257"
Cape Kri,Papua Barat Daya,Raja Ampat,"Cape Kri, Raja Ampat","-0.5537887,130.6850475"
Kabui,Papua Barat Daya,Raja Ampat,"Kabui, Raja Ampat","-0.4237071,130.5753197"
Friwen Bonda,Papua Barat Daya,Raja Ampat,"Friwen Bonda, Raja Ampat","-0.4753454,130.6980161"
fruit bat colony,Nusa Tenggara Timur,KABUPATEN MANGGARAI,"fruit bat colony, KABUPATEN MANGGARAI","-8.370066,121.0134377"
Night walk,Kalimantan Tengah,Kotawaringin Barat,"Night walk, Kotawaringin Barat","-2.7409451,111.9193936"
Lubang Kalam,Sumatera Barat,Sawahlunto,"Lubang Kalam, Sawahlunto","-0.7001448,100.7789612"
Lubang Kalam,Sumatera Barat,Sawahlunto,"Lubang Kalam, Sawahlunto","-0.6921951,100.7793235"
Simalem Resort,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Simalem Resort, Karo","2.8862358,98.5045334"
Aer Mata royal tombs,Jawa Timur,Bangkalan,"Aer Mata royal tombs, Bangkalan","-6.9481725,112.8562866"
Fort Rotterdam,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Makassar,"Fort Rotterdam, Makassar","-5.1339694,119.4053709"
Entrance to war cemetery,Maluku,Ambon,"Entrance to war cemetery, Ambon","-3.6744534,128.1919966"
ENDE letters sculpture,Nusa Tenggara Timur,,"ENDE letters sculpture, ","-8.8436183,121.6426587"
Equator,Sulawesi Tengah,Donggala,"Equator, Donggala","-1.57e-05,119.8873708"
Port Waai (Car Ferry),Maluku,Maluku Tengah,"Port Waai (Car Ferry), Maluku Tengah","-3.5571146,128.3261607"
Kulur Port,Maluku,Maluku Tengah,"Kulur Port, Maluku Tengah","-3.4940953,128.5798643"
Bat cave,Aceh اچيه,Sumatera,"Bat cave, Sumatera","5.4970753,95.2275284"
WATU GEDHEK,Jawa Timur,Banyuwangi ꦧꦚꦸꦮꦔꦶ,"WATU GEDHEK, Banyuwangi ꦧꦚꦸꦮꦔꦶ","-8.2580957,114.1184453"
تمان سفاري,Jawa Barat,Kab Bogor,"تمان سفاري, Kab Bogor","-6.6970034,106.9447784"
Bori Kalimbuang,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Bori Kalimbuang, Toraja Utara","-2.9196936,119.9208103"
MahaRaja Eco Dive Resort,Papua Barat Daya,Raja Ampat,"MahaRaja Eco Dive Resort, Raja Ampat","-0.7599151,130.7542299"
Andiamo Dive Site,Papua Barat Daya,Raja Ampat,"Andiamo Dive Site, Raja Ampat","-2.0991786,130.8561715"
Karang Bayangan (Magic Mountain) Dive Site,Papua Barat Daya,Raja Ampat,"Karang Bayangan (Magic Mountain) Dive Site, Raja Ampat","-2.2567625,130.6496121"
The Candy Shop Dive Site,Papua Barat Daya,Raja Ampat,"The Candy Shop Dive Site, Raja Ampat","-2.1052988,130.871136"
Romeo Dive Site,Papua Barat Daya,Raja Ampat,"Romeo Dive Site, Raja Ampat","-2.1941358,130.6086441"
Yilliet Kecil Dive Site,Papua Barat Daya,Raja Ampat,"Yilliet Kecil Dive Site, Raja Ampat","-2.1943658,130.6099883"
Fiabacet Corner Dive Site,Papua Barat Daya,Raja Ampat,"Fiabacet Corner Dive Site, Raja Ampat","-2.2205345,130.5540121"
Wayil Dive Site,Papua Barat Daya,Raja Ampat,"Wayil Dive Site, Raja Ampat","-2.2026601,130.4250441"
Rainbow Reef Dive Site,Papua Barat Daya,Raja Ampat,"Rainbow Reef Dive Site, Raja Ampat","-0.5951496,130.2902079"
Batu Dalam Dive Site,Papua Barat Daya,Raja Ampat,"Batu Dalam Dive Site, Raja Ampat","-0.5101622,130.4430148"
Mayhem Dive Site,Papua Barat Daya,Raja Ampat,"Mayhem Dive Site, Raja Ampat","-0.5110819,130.4465905"
Boo Window Dive Site,Papua Barat Daya,Raja Ampat,"Boo Window Dive Site, Raja Ampat","-2.22171,130.6110701"
Nudi Rock Dive Site,Papua Barat Daya,Raja Ampat,"Nudi Rock Dive Site, Raja Ampat","-2.2190961,130.5641848"
Barracuda Rock Dive Site,Papua Barat Daya,Raja Ampat,"Barracuda Rock Dive Site, Raja Ampat","-2.1952056,130.4274024"
Wedding Cake Dive Site,Papua Barat Daya,Raja Ampat,"Wedding Cake Dive Site, Raja Ampat","-2.2053852,130.4173932"
Kaleidascope Ridge Dive Site,Papua Barat Daya,Raja Ampat,"Kaleidascope Ridge Dive Site, Raja Ampat","-2.1823774,130.215934"
