nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Museum Pendidikan Indonesia Kota Malang,Jawa Timur,Kota Malang,Jalan Tlogowaru,"-8.0343752,112.6494824",Museum,-8.0343752,112.6494824
Museum Perbendaharaan,Jawa Barat,Kota Bandung,Jalan Diponegoro,"-6.9006473,107.6228648",Museum,-6.9006473,107.6228648
Museum Perjuangan,Jawa Barat,Bogor,Museum Perjuangan Bogor,"-6.5930464,106.7881253",Museum,-6.5930464,106.7881253
Museum Perjuangan SangaSanga,Kalimantan Timur,Kutai Kartanegara,Museum Perjuangan SangaSanga Kutai Kartanegara,"-0.6588425,117.23331",Museum,-0.6588425,117.23331
Museum Perjuangan Yogyakarta,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jalan Kolonel Sugiono,"-7.8164706,110.3718316",Museum,-7.8164706,110.3718316
Museum Pesemuan,Jawa Tengah,Cilacap,Museum Pesemuan Cilacap,"-7.6707585,109.1766183",Museum,-7.6707585,109.1766183
Museum Polri,DKI Jakarta,Daerah Khusus ibukota Jakarta,Museum Polri Daerah Khusus ibukota Jakarta,"-6.2394013,106.8027684",Museum,-6.2394013,106.8027684
Museum Pongtiku Toraja Utara,Sulawesi Selatan,Toraja Utara,Museum Pongtiku Toraja Utara Toraja Utara,"-2.9690912,119.8973492",Museum,-2.9690912,119.8973492
Museum Pos Indonesia,Jawa Barat,Kota Bandung,Jalan Cilaki,"-6.9020925,107.6198013",Museum,-6.9020925,107.6198013
Museum Pura Mangkunegaran,Jawa Tengah,Surakarta,Jalan Letnan Jenderal S Parman,"-7.5660015,110.8230954",Museum,-7.5660015,110.8230954
Museum Purbakala,Bali,Gianyar,Museum Purbakala Gianyar,"-8.5119445,115.2997459",Museum,-8.5119445,115.2997459
Museum Purbakala Muara Kaman,Kalimantan Timur,Kutai Kartanegara,Museum Purbakala Muara Kaman Kutai Kartanegara,"-0.1471367,116.7259386",Museum,-0.1471367,116.7259386
Museum Pusaka Karo,Sumatera Utara,Karo,Museum Pusaka Karo Karo,"3.1947164,98.5084135",Museum,3.1947164,98.5084135
